seq,cycle_duration_us,period_interval_us,read_duration_us,controller_duration_us,write_duration_us,deadline_missed,ok
429,12853.21,33333.74,1.55,5.73,12845.61,0,1
430,11506.82,33335.44,3.06,8.66,11494.25,0,1
431,10198.69,33331.29,1.67,5.49,10191.21,0,1
432,8831.88,33339.00,9.07,16.80,8804.35,0,1
433,23466.32,33330.59,7.09,13.15,23444.73,0,1
434,22127.31,33329.99,3.04,7.81,22115.95,0,1
435,20798.53,33333.70,1.58,6.19,20790.36,0,1
436,19465.91,33335.25,3.69,8.52,19452.74,0,1
437,18121.69,33332.20,2.21,7.40,18111.76,0,1
438,16783.54,33335.84,5.85,9.30,16766.84,0,1
439,15235.38,33609.76,15.28,20.41,15195.24,0,1
440,14114.35,33059.32,12.81,20.92,14078.66,0,1
441,12774.62,33329.98,4.74,9.80,12759.33,0,1
442,11432.31,33344.06,19.34,26.63,11381.47,0,1
443,10087.98,33322.56,4.35,8.92,10074.08,0,1
444,8752.81,33332.84,3.06,8.29,8740.88,0,1
445,23384.53,33334.78,5.12,9.58,23369.03,0,1
446,22049.62,33330.67,2.44,7.71,22039.09,0,1
447,20727.46,33333.35,2.27,7.58,20717.05,0,1
448,19391.33,33335.30,6.53,10.81,19372.37,0,1
449,18103.88,33332.57,2.58,7.72,18093.19,0,1
450,16720.50,33334.08,4.43,9.91,16705.48,0,1
451,15377.55,33332.68,8.28,14.70,15352.80,0,1
452,14027.23,33333.37,3.22,10.97,14012.41,0,1
453,12683.82,33332.10,1.97,5.98,12675.49,0,1
454,11347.18,33334.59,2.92,8.55,11335.13,0,1
455,10012.64,33331.15,1.66,5.88,10004.73,0,1
456,8660.97,33338.26,6.62,10.18,8643.22,0,1
457,23362.15,33341.18,15.17,26.44,23316.48,0,1
458,21970.39,33324.23,10.40,22.25,21935.79,0,1
459,20636.49,33330.25,1.70,6.62,20627.78,0,1
460,19304.66,33334.25,2.01,6.56,19295.71,0,1
461,17993.85,33331.61,1.57,6.19,17985.70,0,1
462,16631.12,33335.47,5.85,11.56,16612.58,0,1
463,15283.46,33333.59,6.24,11.67,15264.67,0,1
464,13939.52,33331.74,2.06,6.64,13930.43,0,1
465,12603.74,33332.70,1.40,5.13,12596.86,0,1
466,11269.13,33334.29,1.81,5.62,11261.38,0,1
467,9925.36,33332.66,1.51,5.50,9918.03,0,1
468,8589.41,33339.44,9.68,15.05,8562.50,0,1
469,23218.81,33329.98,3.98,9.74,23204.48,0,1
470,21885.58,33332.00,2.70,8.50,21873.80,0,1
