seq,elapsed_us,ok,error,driver1_alarm,driver1_rpm,driver2_alarm,driver2_rpm
223,15989.16,1,0,0,0,0,0
224,15991.23,1,0,0,0,0,0
225,15992.61,1,0,0,0,0,0
226,15993.04,1,0,0,0,0,0
227,15999.90,1,0,0,0,0,0
228,15989.71,1,0,0,0,0,0
229,16009.82,1,0,0,0,0,0
230,15991.42,1,0,0,0,0,0
231,15991.73,1,0,0,0,0,0
232,15990.03,1,0,0,0,0,0
233,15999.46,1,0,0,0,0,0
234,15988.81,1,0,0,0,0,0
235,16021.36,1,0,0,0,0,0
236,16041.90,1,0,0,0,0,0
237,15951.93,1,0,0,0,0,0
238,15980.88,1,0,0,0,0,0
239,15990.24,1,0,0,0,0,0
240,15995.97,1,0,0,0,0,0
241,16018.98,1,0,0,0,0,0
242,15989.53,1,0,0,0,0,0
243,15987.63,1,0,0,0,0,0
244,15992.47,1,0,0,0,0,0
245,15991.14,1,0,0,0,0,0
246,16000.26,1,0,0,0,0,0
247,16039.77,1,0,0,0,0,0
248,15985.45,1,0,0,0,0,0
249,15977.47,1,0,0,0,0,0
250,15992.45,1,0,0,0,0,0
251,15987.48,1,0,0,0,0,0
252,15998.11,1,0,0,0,0,0
253,15998.38,1,0,0,0,0,0
254,16000.59,1,0,0,0,0,0
255,15995.80,1,0,0,0,0,0
256,16006.27,1,0,0,0,0,0
257,15982.11,1,0,0,0,0,0
258,15989.48,1,0,0,0,0,0
259,16009.78,1,0,0,0,0,0
260,16002.96,1,0,0,0,0,0
261,15994.51,1,0,0,0,0,0
262,15992.12,1,0,0,0,0,0
263,15998.37,1,0,0,0,0,0
264,15983.50,1,0,0,0,0,0
265,16016.21,1,0,0,0,0,0
266,16010.92,1,0,0,0,0,0
267,15984.91,1,0,0,0,0,0
268,15981.15,1,0,0,0,0,0
269,15996.58,1,0,0,0,0,0
270,15990.06,1,0,0,0,0,0
271,15999.35,1,0,0,0,0,0
272,16002.41,1,0,0,0,0,0
273,15999.45,1,0,0,0,0,0
